,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
3727,earlobe,earring,30,99,0.5555555555555556,54,0.30303030303030304,7,7
3733,vow,promise,30,97,0.15463917525773196,194,0.30927835051546393,3,7
3735,bond,james,30,99,0.4918032786885246,61,0.30303030303030304,4,5
3741,approximately,about,30,98,0.12931034482758622,232,0.30612244897959184,13,5
3742,whirl,spin,30,95,0.15706806282722513,191,0.3157894736842105,5,4
3743,condiments,ketchup,30,99,0.14705882352941177,204,0.30303030303030304,10,7
3745,bustle,hustle,30,96,0.8823529411764706,34,0.3125,6,6
3748,register,cash,30,100,0.12295081967213115,244,0.3,8,4
3752,seldom,rarely,30,95,0.3,100,0.3157894736842105,6,6
3753,chivalry,knight,30,95,0.10948905109489052,274,0.3157894736842105,8,6
3754,chivalrous,knight,30,96,0.10948905109489052,274,0.3125,10,6
3758,pimp,prostitute,30,98,0.13953488372093023,215,0.30612244897959184,4,10
3759,abduction,kidnap,30,93,0.2857142857142857,105,0.3225806451612903,9,6
3762,chomp,bite,30,99,0.1079136690647482,278,0.30303030303030304,5,4
3763,allow,let,30,100,0.44776119402985076,67,0.3,5,3
3769,roast,beef,30,99,0.10909090909090909,275,0.30303030303030304,5,4
3770,while,during,30,99,0.8333333333333334,36,0.30303030303030304,5,6
3772,prosperity,wealth,30,98,0.11029411764705882,272,0.30612244897959184,10,6
3777,checkers,chess,30,96,0.15228426395939088,197,0.3125,8,5
3778,piston,engine,30,90,0.14423076923076922,208,0.3333333333333333,6,6
3779,redden,blush,30,89,0.2564102564102564,117,0.33707865168539325,6,5
3781,presents,gifts,30,99,0.42857142857142855,70,0.30303030303030304,8,5
3785,researcher,scientist,30,100,0.13100436681222707,229,0.3,10,9
3787,pick,choose,30,99,0.11235955056179775,267,0.30303030303030304,4,6
3791,pepsi,coke,30,98,0.16574585635359115,181,0.30612244897959184,5,4
3795,powerpoint,presentation,30,100,0.4225352112676056,71,0.3,10,12
3800,relativity,einstein,30,95,0.19736842105263158,152,0.3157894736842105,10,8
3808,inner,outer,29,97,0.4027777777777778,72,0.29896907216494845,5,5
3813,twelve,dozen,29,100,0.5576923076923077,52,0.29,6,5
3817,birdie,golf,29,97,0.10820895522388059,268,0.29896907216494845,6,4
3824,conquistador,spanish,29,87,0.14146341463414633,205,0.3333333333333333,12,7
3826,blubber,whale,29,96,0.15263157894736842,190,0.3020833333333333,7,5
3828,gerbil,hamster,29,83,0.5576923076923077,52,0.3493975903614458,6,7
3835,believing,faith,29,99,0.10780669144981413,269,0.29292929292929293,9,5
3838,dining,eating,29,99,0.16477272727272727,176,0.29292929292929293,6,6
3839,prehistoric,dinosaur,29,99,0.21323529411764705,136,0.29292929292929293,11,8
3840,addition,subtraction,29,99,0.6041666666666666,48,0.29292929292929293,8,11
3843,vendetta,revenge,29,94,0.12133891213389121,239,0.30851063829787234,8,7
3845,back,front,29,99,0.16477272727272727,176,0.29292929292929293,4,5
3847,camp,tent,29,97,0.10861423220973783,267,0.29896907216494845,4,4
3848,motive,reason,29,99,0.10034602076124567,289,0.29292929292929293,6,6
3849,aubergine,eggplant,29,75,0.8285714285714286,35,0.38666666666666666,9,8
3850,malaria,mosquito,29,100,0.37662337662337664,77,0.29,7,8
3859,generally,usually,29,98,0.32222222222222224,90,0.29591836734693877,9,7
3862,client,customer,29,99,0.4264705882352941,68,0.29292929292929293,6,8
3864,nourish,feed,29,99,0.32954545454545453,88,0.29292929292929293,7,4
3865,informal,casual,29,100,0.3020833333333333,96,0.29,8,6
3866,tile,floor,29,98,0.10661764705882353,272,0.29591836734693877,4,5
3875,tactics,strategy,29,100,0.29591836734693877,98,0.29,7,8
3879,introvert,extrovert,29,98,0.4142857142857143,70,0.29591836734693877,9,9
3880,zebra,stripes,29,99,0.26605504587155965,109,0.29292929292929293,5,7
3881,tavern,pub,29,99,0.28431372549019607,102,0.29292929292929293,6,3
3884,pension,retirement,29,100,0.6041666666666666,48,0.29,7,10
3886,moan,groan,29,97,0.47540983606557374,61,0.29896907216494845,4,5
3890,clapping,applause,29,100,0.28431372549019607,102,0.29,8,8
3892,april,may,29,100,0.4084507042253521,71,0.29,5,3
3893,wetland,marsh,29,98,0.5576923076923077,52,0.29591836734693877,7,5
3896,tripping,falling,29,99,0.1638418079096045,177,0.29292929292929293,8,7
3903,venus,mars,29,100,0.27884615384615385,104,0.29,5,4
3906,award,prize,29,100,0.19078947368421054,152,0.29,5,5
3914,introduce,meet,29,100,0.15343915343915343,189,0.29,9,4
3921,decay,rot,29,99,0.2230769230769231,130,0.29292929292929293,5,3
3925,kilt,skirt,29,98,0.1695906432748538,171,0.29591836734693877,4,5
3927,among,with,29,97,0.11693548387096774,248,0.29896907216494845,5,4
3928,glare,stare,29,97,0.25663716814159293,113,0.29896907216494845,5,5
3930,chart,graph,29,99,0.24166666666666667,120,0.29292929292929293,5,5
