,0
1959_10_1,0.2193105911997578
1968_10_1,0.3506753185540097
1976_10_1,0.2925442812458361
1985_10_1,0.2648013596692348
1989_10_1,0.3287590913354264
2003_10_1,0.4907849675559573
2006_10_1,0.4736596703249432
2011_10_1,0.33685687664545355
2022_10_1,0.7048936824084896
2033_10_1,0.48684935389179634
2042_10_1,0.3060744098293985
2047_10_1,0.3056511444393006
2052_10_1,0.27512185780456494
2058_10_1,0.2614951025842143
2063_10_1,0.2819033838373357
2068_10_1,0.4126251058602392
2077_10_1,0.49729164937831744
2082_10_1,0.4340693084939629
2088_10_1,0.4127619762222254
2093_10_1,0.23936728916024247
2099_10_1,0.38439199011912906
2104_10_1,0.2732183359160064
2110_10_1,0.26784983470593743
2122_10_1,0.23545079295338198
2128_10_1,0.3602995924035354
2135_10_1,0.18902240100278925
2141_10_1,0.2163201492164371
2145_10_1,0.2494296548587193
2150_10_1,0.30266420556869844
2155_10_1,0.41381886824010833
2160_10_1,0.37083400057624955
2166_10_1,0.2521294181939
2173_10_1,0.40762719561474664
2180_10_1,0.475690770171487
2185_10_1,0.27498919893002743
2190_10_1,0.4972700423049013
2196_10_1,0.6008200095462498
2201_10_1,0.46524487977261064
2207_10_1,0.37917688813919054
2214_10_1,0.3684087347633512
2219_10_1,0.42828906561911706
2223_10_1,0.3683951397605851
2227_10_1,0.21449944994387385
2232_10_1,0.33441535090728475
2236_10_1,0.30843511580065464
2241_10_1,0.407652593851412
2248_10_1,0.2211425384678377
2253_10_1,0.29246037994235874
2259_10_1,0.27688128219111463
2267_10_1,0.28222309340071633
2272_10_1,0.20644298299689118
2277_10_1,0.34260568830926746
2284_10_1,0.32477153646752793
2289_10_1,0.27785883840205466
2295_10_1,0.30750463488807783
2300_10_1,0.2416414722396346
2304_10_1,0.28331899784803566
2309_10_1,0.38771109186121827
2321_10_1,0.33434038304827357
2327_10_1,0.21779869481674258
2331_10_1,0.36675909081907265
2340_10_1,0.2075538961359017
2343_10_1,0.24197769096214086
2349_10_1,0.38123898622705804
2354_10_1,0.27899846107514653
2360_10_1,0.21652451198382275
2366_10_1,0.21195205186198726
2371_10_1,0.27015215104587964
2376_10_1,0.34712499376664196
2381_10_1,0.3198466190749612
2388_10_1,0.25343957552417057
2393_10_1,0.23464357568952995
2398_10_1,0.29285693866953744
2401_10_1,0.31081441213160543
2406_10_1,0.3522459855315488
2411_10_1,0.329939836303176
2416_10_1,0.25457645212866103
2422_10_1,0.3405843280726889
2427_10_1,0.3702460730295904
2434_10_1,0.23862022985464446
2438_10_1,0.25499634398896925
2444_10_1,0.2662716645474834
2453_10_1,0.20190478905665754
2455_10_1,0.20112154601202112
2460_10_1,0.2458718663190563
2467_10_1,0.3078503410949704
2471_10_1,0.29426849542993366
2475_10_1,0.3468590166955596
2480_10_1,0.18735420681555268
2484_10_1,0.19305841256998027
2491_10_1,0.2672415237447094
2496_10_1,0.20871281261101948
2502_10_1,0.3037433660478472
2507_10_1,0.5528913509983385
2513_10_1,0.28493057180571124
2518_10_1,0.33744347636956995
2524_10_1,0.3481574170220001
2530_10_1,0.344204903526642
2535_10_1,0.2802986222485459
2540_10_1,0.36306925110434507
2545_10_1,0.27583840484070454
2553_10_1,0.29678576182550387
2559_10_1,0.25748598078069945
2563_10_1,0.21654392781688203
2568_10_1,0.2916076798529135
2574_10_1,0.24137549762323932
2580_10_1,0.4257577905354461
2586_10_1,0.31263775252549003
2591_10_1,0.3070997223367743
2604_10_1,0.5618487506722811
2610_10_1,0.46002478699144966
2616_10_1,0.592943617316538
2622_10_1,0.658612513008081
2627_10_1,0.2971168053134356
2633_10_1,0.38834745581813024
2638_10_1,0.36495989313088134
2643_10_1,0.5570258061721886
2648_10_1,0.3706240253900463
2654_10_1,0.43592256845009714
2659_10_1,0.44504808397650353
2664_10_1,0.28768568771294034
2668_10_1,0.19645332277766375
2672_10_1,0.3522011403387586
2679_10_1,0.42567998848138877
2684_10_1,0.37483499696934125
2689_10_1,0.47363937023013486
2695_10_1,0.4514429381472889
2701_10_1,0.4380977054614656
2710_10_1,0.387150995798429
2716_10_1,0.3366948244412111
2720_10_1,0.26362096085224773
2725_10_1,0.3641298965382078
2732_10_1,0.3855786708848879
2739_10_1,0.19685982503834976
2744_10_1,0.2415838515230668
2751_10_1,0.4198542660274436
2762_10_1,0.2385397445296502
2767_10_1,0.3177592027595973
2772_10_1,0.29452475806524275
2777_10_1,0.2603680856143192
2782_10_1,0.1799365990169217
2787_10_1,0.22075790669262224
2792_10_1,0.14096801378506976
2795_10_1,0.1792925198726895
2800_10_1,0.3226928445508686
2805_10_1,0.2880649152981301
2810_10_1,0.3123513202436806
2816_10_1,0.46620816591761155
2821_10_1,0.539838545736809
2826_10_1,0.4432836290283807
2832_10_1,0.49807154989730557
2838_10_1,0.3092033155328012
2844_10_1,0.2293859829551768
2854_10_1,0.3491878810058153
2859_10_1,0.26869643473083366
2864_10_1,0.22752617100625466
2869_10_1,0.3328146979864204
2877_10_1,0.3707297521483053
2882_10_1,0.3476599589960636
2890_10_1,0.5745956343175772
2896_10_1,0.48531381604129703
2902_10_1,0.41421868807401574
2916_10_1,0.5826653829340729
2922_10_1,0.2203263171174485
2927_10_1,0.30822121364645244
2932_10_1,0.24304034041104425
2938_10_1,0.22928919640201326
2942_10_1,0.20234936693429353
2946_10_1,0.15334318349602535
2952_10_1,0.32925100998056844
2957_10_1,0.21419455646477278
2963_10_1,0.14184537088779658
2967_10_1,0.33691925948693663
2976_10_1,0.21177590175213218
2982_10_1,0.2440793695987579
2987_10_1,0.3590349972083104
3001_10_1,0.3263709908713657
3009_10_1,0.23712293436844012
3018_10_1,0.26687260648761835
3023_10_1,0.2344409785227709
3031_10_1,0.21525183387734814
3037_10_1,0.25288267753674515
3041_10_1,0.18174120543859526
3047_10_1,0.3724000844061843
3054_10_1,0.2830080419347541
3062_10_1,0.31433536952661456
3067_10_1,0.24705796314222936
3071_10_1,0.251998346032659
3075_10_1,0.28419103186121475
3081_10_1,0.33395563679211326
3085_10_1,0.3086226609448135
3094_10_1,0.40537085304132886
3100_10_1,0.24078139504172352
3103_10_1,0.36940316321708105
3109_10_1,0.40907071898170916
3120_10_1,0.4929321987946254
3125_10_1,0.3524760046634614
3131_10_1,0.3866516423096201
3139_10_1,0.2863635196548965
3147_10_1,0.1467884079175879
3152_10_1,0.3001484067110039
3159_10_1,0.34410058851274594
3167_10_1,0.2945479439672517
3171_10_1,0.2012175329666668
3175_10_1,0.26298185211130787
3179_10_1,0.48690146014360525
3186_10_1,0.3444906893173965
3192_10_1,0.5143666961330355
3196_10_1,0.2646108816058557
3206_10_1,0.5636182854523587
3212_10_1,0.24191084625329642
3216_10_1,0.200706768845877
3222_10_1,0.1915089815638711
3226_10_1,0.22339142995118122
3233_10_1,0.23920349504607022
3242_10_1,0.3234974146724132
3248_10_1,0.23756035276514983
3252_10_1,0.20256918750809555
3258_10_1,0.16284328888888644
3267_10_1,0.2119500619824584
3276_10_1,0.2421978596746011
3282_10_1,0.19144557060477937
3286_10_1,0.21441767741972947
3291_10_1,0.18832262659864313
3298_10_1,0.21962739808960252
3303_10_1,0.2981530611489292
3308_10_1,0.3363720344002347
3314_10_1,0.21976185794515835
3317_10_1,0.2534683040223849
3325_10_1,0.3462255271421086
3335_10_1,0.6166152995520052
3343_10_1,0.3039812905378598
3352_10_1,0.3844784041863738
3358_10_1,0.4369314164269671
3363_10_1,0.27532811324587275
3373_10_1,0.28363739902073615
3380_10_1,0.33691432840694446
3385_10_1,0.4895222087185129
3393_10_1,0.37925189665982567
3398_10_1,0.31851707248453004
3405_10_1,0.35406695676836913
3410_10_1,0.2277612980096793
3416_10_1,0.23226620466815465
3420_10_1,0.23573650288719827
3424_10_1,0.2856282936682915
3428_10_1,0.26769860701464093
3433_10_1,0.334934260734049
3438_10_1,0.37921077218560995
3443_10_1,0.2611584269634652
3449_10_1,0.45880219786065496
3455_10_1,0.46960027749691263
3461_10_1,0.5083423749938336
3466_10_1,0.4409534626944152
3471_10_1,0.440119900272093
3482_10_1,0.24388336407883676
3496_10_1,0.1748614520837348
3501_10_1,0.34551446263119595
3506_10_1,0.35557820464771056
3518_10_1,0.1548934110415757
3524_10_1,0.24981321827271588
3528_10_1,0.3010252785875671
3533_10_1,0.30990254362805825
3541_10_1,0.15910456755424793
3552_10_1,0.3353964849059754
3557_10_1,0.22463656060955722
3562_10_1,0.2381705361147411
3568_10_1,0.24706609479461009
3582_10_1,0.31315873378666126
3588_10_1,0.21672376141279087
3598_10_1,0.33460353476231613
3608_10_1,0.22448591054596692
3614_10_1,0.2001905870955987
3619_10_1,0.15509389458439685
3623_10_1,0.30142333498475404
3629_10_1,0.30716115386362125
3633_10_1,0.1961969006767711
3639_10_1,0.146047091131084
3643_10_1,0.2321244755931569
3648_10_1,0.32686160767784656
3656_10_1,0.29832217990485466
3661_10_1,0.27371762243190395
3667_10_1,0.25535185374275543
3673_10_1,0.30222273463888516
3678_10_1,0.32733692547696835
3687_10_1,0.45783305799765833
3694_10_1,0.27500493765026196
3697_10_1,0.2743719992891888
3703_10_1,0.3634039482633009
3710_10_1,0.28852810113983784
3718_10_1,0.3031130906676599
3722_10_1,0.2659896008414705
3727_10_1,0.23151588895922115
3731_10_1,0.24577662215942878
3739_10_1,0.32884856736597773
3752_10_1,0.2583146219695176
3758_10_1,0.4045132786843179
3765_10_1,0.4194076306962495
3770_10_1,0.586329954768839
3775_10_1,0.4808563739407486
3783_10_1,0.4269811656695527
3788_10_1,0.39846019863057097
3796_10_1,0.2738741542755932
3805_10_1,0.39809918336040734
3808_10_1,0.3288989323807245
3813_10_1,0.33664627219896937
3822_10_1,0.276984359331627
3827_10_1,0.2645725041278706
3834_10_1,0.34162342402220947
3843_10_1,0.2698840239149543
3850_10_1,0.3527421317857462
3854_10_1,0.20418087984093583
3859_10_1,0.19997480946386334
3864_10_1,0.3977010666878961
3869_10_1,0.2760595417992783
3875_10_1,0.2785466803952453
3882_10_1,0.38842164108149807
3888_10_1,0.3180884943150561
3892_10_1,0.3755670237913185
3899_10_1,0.4149224608409513
3907_10_1,0.34634929897932215
3912_10_1,0.15642638346660992
3916_10_1,0.2625506044840253
3919_10_1,0.2334181466355849
3928_10_1,0.2953296746892766
3934_10_1,0.347452367880679
3946_10_1,0.20426709042384372
3952_10_1,0.19079014124147065
3956_10_1,0.2325824514072448
3966_10_1,0.3044414742672317
3972_10_1,0.29943238505645065
3977_10_1,0.2591714682282516
3982_10_1,0.6283533750334791
3989_10_1,0.45433569810527674
3995_10_1,0.4464245684731046
4003_10_1,0.2478837493887605
4012_10_1,0.313815405135238
4024_10_1,0.4272967574911445
4031_10_1,0.3956728621411969
4036_10_1,0.43535208461573244
4041_10_1,0.2700793375382051
4046_10_1,0.2792715346766346
4052_10_1,0.37634036806716786
4057_10_1,0.30543804026876187
4062_10_1,0.21946978097705638
4067_10_1,0.2454626739789543
4073_10_1,0.378378097593058
4083_10_1,0.49536812415811937
4089_10_1,0.4312185145665873
4098_10_1,0.32575012654127605
4103_10_1,0.20485821162586282
4109_10_1,0.455180213212616
4118_10_1,0.3024657793956423
4123_10_1,0.4117591571674571
4129_10_1,0.3200095145992516
4135_10_1,0.4611595897307406
4142_10_1,0.43461909445317937
4149_10_1,0.3194938774560125
4154_10_1,0.2709325528454399
4163_10_1,0.29623567680620005
4168_10_1,0.2562126508294527
4173_10_1,0.6888462967301996
4180_10_1,0.7552623756783265
4186_10_1,0.5724671838276275
4192_10_1,0.44913848644706156
4197_10_1,0.4380746974868454
4202_10_1,0.4349940543748259
4207_10_1,0.30758084425348337
4211_10_1,0.3049145946226947
4217_10_1,0.18838121554311685
4223_10_1,0.27677300346623
4229_10_1,0.16453321592410794
4235_10_1,0.31382901342609265
4241_10_1,0.2160256785653699
4245_10_1,0.3124122351474958
4251_10_1,0.37130425711671977
4256_10_1,0.32820187876830004
4262_10_1,0.3086366632490903
4267_10_1,0.2998671379697856
4272_10_1,0.45149638335785797
4276_10_1,0.3805474621354587
4284_10_1,0.3462556304723657
4288_10_1,0.2892097956081832
4293_10_1,0.49123584955375904
4298_10_1,0.28847026296191425
4303_10_1,0.45162834799971363
4310_10_1,0.2937941403626544
4317_10_1,0.5963990153352505
4322_10_1,0.4532435151508327
4329_10_1,0.4045746355980686
4335_10_1,0.45759881183069545
4340_10_1,0.36648044853159595
4352_10_1,0.6531854295243279
4358_10_1,0.7123920020227875
4365_10_1,0.5259891536326439
4370_10_1,0.5057435910719468
4376_10_1,0.36150492946273904
4383_10_1,0.33911998997105397
4391_10_1,0.24926773155498572
4396_10_1,0.31455604353690775
4401_10_1,0.31736767250373144
4406_10_1,0.3029393620626197
4411_10_1,0.285746733037941
4416_10_1,0.2840651097292253
4421_10_1,0.18565205185934783
4427_10_1,0.3568184274655251
4429_10_1,0.35210279170806874
4434_10_1,0.27281089788316565
4439_10_1,0.3202688412404404
